parent_id,menu_name,missing_name,missing_ingredients,missing_method,missing_nutrition,missing_tags,skipped
ROW_0,น้ำพริกปลาร้าทรงเครื่อง,False,False,False,False,False,False
ROW_1,ขนมจีบ,False,False,False,False,False,False
ROW_2,หอยเชลล์ย่างซอสมิโซะ,False,False,False,False,False,False
ROW_3,ไก่ทอดขิง,False,False,False,False,False,False
ROW_4,ปลาดุกผักพริกหยวก,False,False,False,False,False,False
ROW_5,กะปิหลน,False,False,False,False,False,False
ROW_6,น้ำซุปก๋วยเตียวเรือ,False,False,False,False,False,False
ROW_7,สลัดผักเวียดนาม,False,False,False,False,False,False
ROW_8,น้ำสลัด,False,False,False,False,False,False
ROW_9,ไก่ม้วน,False,False,False,False,False,False
ROW_10,ยำไข่ดาว,False,False,False,False,False,False
ROW_11,ต้มแซบหมู,False,False,False,False,False,False
ROW_12,ปลาหมึกผัดไข่เค็ม,False,False,False,False,False,False
ROW_13,แกงป่าปลาช่อน,False,False,False,False,False,False
ROW_14,ขนมกล้วยเชื่อม,False,False,False,False,False,False
ROW_15,แกงไตปลา,False,False,False,False,False,False
ROW_16,น้ำพริกอ่องปลากระป๋อง,False,False,False,False,False,False
ROW_17,ข้าวหมกไก่,False,False,False,False,False,False
ROW_18,ยำหอยนางรม,False,False,False,False,False,False
ROW_19,ผัดผักบุ้งไฟแดง,False,False,False,False,False,False
ROW_20,แกงส้มปลาช่อนผักรวม,False,False,False,False,False,False
ROW_21,ไข่ทอดสามรส,False,False,False,False,False,False
ROW_22,ต้มยำปลาทู,False,False,False,False,False,False
ROW_23,ผัดกระเฉดหมูกรอบ,False,False,False,False,False,False
ROW_24,ผัดคะน้าหมูกรอบ,False,False,False,False,False,False
ROW_25,น้ำพริกปูม้า,False,False,False,False,False,False
ROW_26,แกงมัสมั่นเนื้อ,False,False,False,False,False,False
ROW_27,ยำวุ้นเส้น,False,False,False,False,False,False
ROW_28,เนื้อวัวผัดกระเทียม,False,False,False,False,False,False
ROW_29,ข้าวหน้าเนื้อ,False,False,False,False,False,False
ROW_30,ขาหมูต้มผักกาดดอง,False,False,False,False,False,False
ROW_31,ซุปรากบัว,False,False,False,False,False,False
ROW_32,เต้าหู้ผัดมันฝรั่ง,False,False,False,False,False,False
ROW_33,ไก่ทอดทงคัทสึ,False,False,False,False,False,False
ROW_34,ไก่ย่าง,False,False,False,False,False,False
ROW_35,น้ำจิ้มหมูสะเต๊ะ,False,False,False,False,False,False
